SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
ABIO,TQBR,iАРТГЕН ао,84.86,10,0.1,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Артген""",,FNDT,EQIN,,0.02,84.86,SUR,2024-07-12,92645451,RU000A0JNAB6,ARTGEN ao,1-01-08902-A,83.78,SUR,1,2,2024-07-16
ABRD,TQBR,АбрауДюрсо,226.6,10,1.0,A,Т+: Акции и ДР - безадрес.,1,Абрау-Дюрсо ПАО ао,,FNDT,EQIN,,0.2,229.4,SUR,2024-07-12,98000184,RU000A0JS5T7,Abrau-Durso ao,1-02-12500-A,226.6,SUR,1,3,2024-07-16
ACKO,TQBR,АСКО ао,3.58,100,1.0,A,Т+: Акции и ДР - безадрес.,2,АСКО ПАО ао,,FNDT,EQIN,,0.02,3.64,SUR,2024-07-12,536000000,RU000A0JXS91,ASKO ao,1-01-52065-Z,3.58,SUR,1,3,2024-07-16
AFKS,TQBR,Система ао,22.649,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,22.382,SUR,2024-07-12,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,22.401,SUR,1,1,2024-07-16
AFLT,TQBR,Аэрофлот,55.4,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,55.39,SUR,2024-07-12,3975771215,RU0009062285,Aeroflot,1-01-00010-A,55.12,SUR,1,1,2024-07-16
AGRO,TQBR,AGRO-гдр,1544.2,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1482.6,USD,2024-07-12,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1431.0,SUR,D,1,2024-07-16
AKRN,TQBR,Акрон,15410.0,1,5.0,A,Т+: Акции и ДР - безадрес.,0,Акрон ПАО ао,,FNDT,EQIN,,2.0,15408.0,SUR,2024-07-12,36757156,RU0009028674,Acron,1-03-00207-A,15410.0,SUR,1,2,2024-07-16
ALRS,TQBR,АЛРОСА ао,64.47,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,65.15,SUR,2024-07-12,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,64.8,SUR,1,1,2024-07-16
AMEZ,TQBR,АшинскийМЗ,73.64,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Ашинский метзавод ПАО ао,,FNDT,EQIN,,0.02,73.36,SUR,2024-07-12,498454822,RU000A0B88G6,Ashinckiy metzavod PAO,1-03-45219-D,73.64,SUR,1,3,2024-07-16
APTK,TQBR,Аптеки36и6,11.466,10,0.64,A,Т+: Акции и ДР - безадрес.,3,"ПАО ""Аптечная сеть 36,6"" ао",,FNDT,EQIN,,0.002,11.442,SUR,2024-07-12,7630433826,RU0008081765,"Apteki 36,6",1-01-07335-A,11.466,SUR,1,2,2024-07-16
AQUA,TQBR,ИНАРКТИКА,786.0,1,100.0,A,Т+: Акции и ДР - безадрес.,1,ПАО ИНАРКТИКА,,FNDT,EQIN,,0.5,788.0,SUR,2024-07-12,87876649,RU000A0JQTS3,INARCTIKA,1-01-04461-D,788.0,SUR,1,1,2024-07-16
ARSA,TQBR,Арсагера,13.95,100,1.0,A,Т+: Акции и ДР - безадрес.,2,УК Арсагера ПАО-ао,,FNDT,EQIN,,0.01,13.88,SUR,2024-07-12,123817165,RU000A0JP0Q7,UK Arsagera,1-01-03163-D,13.95,SUR,1,3,2024-07-16
ASSB,TQBR,АстрЭнСб,2.48,1000,0.007,A,Т+: Акции и ДР - безадрес.,3,"""Астраханская ЭСК"" ПАО",,FNDT,EQIN,,0.005,2.5,SUR,2024-07-12,773900078,RU000A0D8MM8,Astrakhan Energo Sbyt,1-01-55064-E,2.485,SUR,1,3,2024-07-16
ASTR,TQBR,Астра ао,540.55,1,0.05,A,Т+: Акции и ДР - безадрес.,2,Группа Астра ао,,FNDT,EQIN,,0.05,538.7,SUR,2024-07-12,210000000,RU000A106T36,Astra Group,1-01-01286-G,538.6,SUR,1,2,2024-07-16
AVAN,TQBR,Авангрд-ао,694.0,1,10.0,A,Т+: Акции и ДР - безадрес.,0,"АКБ ""АВАНГАРД"" ПАО ао",,FNDT,EQIN,,1.0,683.0,SUR,2024-07-12,80700000,RU000A0DM7B3,"AKB ""AVANGARD""",10102879B,694.0,SUR,1,3,2024-07-16
BANE,TQBR,Башнефт ао,2723.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Башнефть АНК ао,,FNDT,EQIN,,0.5,2772.0,SUR,2024-07-12,147846489,RU0007976957,Bashneft ANK ao,1-01-00013-A,2687.0,SUR,1,3,2024-07-16
BANEP,TQBR,Башнефт ап,1643.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Башнефть АНК ап,,FNDT,EQIN,,0.5,1668.5,SUR,2024-07-12,29788012,RU0007976965,Bashneft ANK ap,2-01-00013-A,1648.0,SUR,2,3,2024-07-16
BELU,TQBR,НоваБев ао,5228.0,1,100.0,A,Т+: Акции и ДР - безадрес.,0,НоваБев Групп ПАО ао,,FNDT,EQIN,,1.0,5243.0,SUR,2024-07-12,15800000,RU000A0HL5M1,NovaBev Group ao,1-01-55052-E,5228.0,SUR,1,1,2024-07-16
BISVP,TQBR,БашИнСв ап,10.66,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Башинформсвязь(ПАО) ап,,FNDT,EQIN,,0.01,10.76,SUR,2024-07-12,36165270,RU0009100176,BashInformSvyaz ap,2-01-00011-A,10.7,SUR,2,3,2024-07-16
BLNG,TQBR,Белон ао,20.025,100,0.01,A,Т+: Акции и ДР - безадрес.,3,Белон ОАО ао,,FNDT,EQIN,,0.005,20.24,SUR,2024-07-12,1150000000,RU000A0J2QG8,Belon ao,1-06-10167-F,20.025,SUR,1,3,2024-07-16
BRZL,TQBR,БурЗолото,2012.0,1,0.025,A,Т+: Акции и ДР - безадрес.,0,Бурятзолото ПАО ао,,FNDT,EQIN,,1.0,2044.0,SUR,2024-07-12,7027270,RU0009288658,Buryatzoloto ao,1-06-20577-F,2012.0,SUR,1,3,2024-07-16
BSPB,TQBR,БСП ао,356.45,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,353.24,SUR,2024-07-12,457544031,RU0009100945,BSP,10300436B,352.4,SUR,1,1,2024-07-16
BSPBP,TQBR,БСП ап,46.85,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Банк Санкт-Петербург ап,,FNDT,EQIN,,0.05,46.9,SUR,2024-07-12,20100000,RU000A0JP0U9,BSP ap,20100436B,46.85,SUR,2,3,2024-07-16
CARM,TQBR,СТГ,2.1315,100,1.0,A,Т+: Акции и ДР - безадрес.,4,СТГ ао,,FNDT,EQIN,,0.0005,2.134,SUR,2024-07-12,2203330301,RU000A105NV2,STG,1-01-03536-G,2.1365,SUR,1,3,2024-07-16
CBOM,TQBR,МКБ ао,6.894,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,6.868,SUR,2024-07-12,33429709866,RU000A0JUG31,MKB ao,10101978B,6.869,SUR,1,1,2024-07-16
CHGZ,TQBR,РН-ЗапСиб,114.8,10,0.1,A,Т+: Акции и ДР - безадрес.,1,РН-Западная Сибирь ПАО ао,,FNDT,EQIN,,0.2,114.8,SUR,2024-07-12,26771420,RU0009082291,RN-Western Siberia ao,1-01-00185-A,114.8,SUR,1,3,2024-07-16
CHKZ,TQBR,ЧКПЗ ао,24050.0,1,200.0,A,Т+: Акции и ДР - безадрес.,0,"""ЧКПЗ"" ПАО ао",,FNDT,EQIN,,50.0,24000.0,SUR,2024-07-12,600216,RU000A0JNST0,CKPZ,1-03-45058-D,24050.0,SUR,1,3,2024-07-16
CHMF,TQBR,СевСт-ао,1471.6,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1462.8,SUR,2024-07-12,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1458.0,SUR,1,1,2024-07-16
CHMK,TQBR,ЧМК ао,6720.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,"""ЧМК"" ПАО ао",,FNDT,EQIN,,5.0,6770.0,SUR,2024-07-12,3161965,RU0007665170,CMK,1-01-00080-A,6720.0,SUR,1,3,2024-07-16
CIAN,TQBR,CIAN-адр,758.2,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Cian PLC ORD SHS,,FNDT,EQIN,,0.2,764.6,SUR,2024-07-12,0,US83418T1088,ADR Cian PLC ORD SHS,,758.2,SUR,D,1,2024-07-16
CNTL,TQBR,Телеграф,12.2,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центральный Телеграф"" ПАО ао",,FNDT,EQIN,,0.02,12.34,SUR,2024-07-12,166167000,RU0007665147,Centrlnyi Telegraf,1-03-00327-A,12.2,SUR,1,3,2024-07-16
CNTLP,TQBR,Телеграф-п,8.86,100,1.0,A,Т+: Акции и ДР - безадрес.,2,"""Центральный Телеграф"" ПАО ап",,FNDT,EQIN,,0.02,8.88,SUR,2024-07-12,55389000,RU0007665139,Centrlnyi Telegraf ap,2-03-00327-A,8.82,SUR,2,3,2024-07-16
DELI,TQBR,Каршеринг,282.4,1,0.000625,A,Т+: Акции и ДР - безадрес.,2,Каршеринг Руссия ао,,FNDT,EQIN,,0.05,280.95,SUR,2024-07-12,175849057,RU000A107J11,Carsharing Russia,1-01-16750-A,282.4,SUR,1,2,2024-07-16
DIAS,TQBR,iДиасофт,5002.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Диасофт ао,,FNDT,EQIN,,0.5,5013.5,SUR,2024-07-12,10500000,RU000A107ER5,Diasoft,1-01-84777-H,5002.5,SUR,1,2,2024-07-16
DIOD,TQBR,ЗаводДИОД,14.3,100,0.01,A,Т+: Акции и ДР - безадрес.,2,Завод ДИОД ПАО ао,,FNDT,EQIN,,0.01,14.9,SUR,2024-07-12,91500000,RU000A0JQWC1,Zavod DIOD ao,1-03-06923-A,14.3,SUR,1,3,2024-07-16
DVEC,TQBR,ДЭК ао,2.52,1000,1.0,A,Т+: Акции и ДР - безадрес.,3,"""ДЭК"" ПАО ао",,FNDT,EQIN,,0.001,2.557,SUR,2024-07-12,17223107804,RU000A0JP2W1,DEC,1-01-55275-E,2.518,SUR,1,3,2024-07-16
DZRD,TQBR,ДонскЗР,3955.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Донской завод радиодеталей ао,,FNDT,EQIN,,5.0,4060.0,SUR,2024-07-12,343407,RU000A0JQW11,DZRD ao,1-01-02677-A,3955.0,SUR,1,3,2024-07-16
DZRDP,TQBR,ДонскЗР п,2910.0,1,1.0,A,Т+: Акции и ДР - безадрес.,0,Донской завод радиодеталей ап,,FNDT,EQIN,,10.0,2970.0,SUR,2024-07-12,114469,RU000A0JQW29,DZRD pref.,2-01-02677-A,2910.0,SUR,2,3,2024-07-16
EELT,TQBR,ЕвроЭлтех,15.7,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"""ЕвропЭлектротехника"" ПАО ао",,FNDT,EQIN,,0.02,16.12,SUR,2024-07-12,551813000,RU000A0JWW54,European Eltech,1-01-83993-H,15.7,SUR,1,3,2024-07-16
